,Name,Career,Match
0,Asif Iqbal,1973–1979,10
1,Asif Masood,1973–1976,7
2,Intikhab Alam,1973–1976,4
3,Majid Khan,1973–1982,23
4,Mushtaq Mohammad,1973–1978,10
5,Nasim-ul-Ghani,1973,1
6,Sadiq Mohammad,1973–1980,19
7,Saleem Altaf,1973–1978,6
8,Sarfraz Nawaz,1973–1984,45
9,Wasim Bari,1973–1984,51
10,Wasim Raja,1973–1985,54
11,Imran Khan,1974–1992,175
12,Zaheer Abbas,1974–1985,62
13,Naseer Malik,1975,3
14,Javed Miandad,1975–1996,233
15,Pervez Mir,1975–1977,3
16,Mohsin Khan,1977–1986,75
17,Aamer Hameed,1977–1978,2
18,Hasan Jamil,1977–1978,6
19,Liaqat Ali,1977–1978,3
20,Mudassar Nazar,1977–1989,122
21,Shafiq Ahmed,1977–1978,3
22,Haroon Rasheed,1977–1982,12
23,Iqbal Qasim,1977–1988,15
24,Sikander Bakht,1977–1989,27
25,Arshad Pervez,1978,2
26,Naeem Ahmed,1978,1
27,Azmat Rana,1978,2
28,Mansoor Akhtar,1980–1990,41
29,Mohammad Nazir,1980–1984,4
30,Taslim Arif,1980,2
31,Ashraf Ali,1980–1985,16
32,Ijaz Faqih,1980–1988,27
33,Rashid Khan,1980–1985,29
34,Saleem Pervez,1980,1
35,Tahir Naqqash,1980–1985,40
36,Rizwan-uz-Zaman,1981–1987,3
37,Saleem Malik,1982–1999,283
38,Jalal-ud-din,1982–1983,8
39,Saleem Yousuf,1982–1990,86
40,Tauseef Ahmed,1982–1990,70
41,Shahid Mahboob,1982–1984,10
42,Abdul Qadir,1983–1993,104
43,Azeem Hafeez,1983–1985,15
44,Qasim Umar,1983–1987,31
45,Saadat Ali,1984,8
46,Anil Dalpat,1984–1986,15
47,Naved Anjum,1984–1992,13
48,Manzoor Elahi,1984–1995,54
49,Sajid Ali,1984–1997,13
50,Zakir Khan,1984–1990,17
51,Shoaib Mohammad,1984–1993,63
52,Wasim Akram,1984–2003,356
53,Mohsin Kamal,1984–1989,19
54,Masood Iqbal,1984,1
55,Rameez Raja,1985–1997,198
56,Zulqarnain Zaidi,1985–1989,16
57,Saleem Jaffar,1986–1990,39
58,Asif Mujtaba,1986–1996,66
59,Ijaz Ahmed,1986–2000,250
60,Younis Ahmed,1987,2
61,Zahid Ahmed,1987,2
62,Shakeel Khan,1987,1
63,Haafiz Shahid,1988,3
64,Aamer Malik,1988–1994,24
65,Moin-ul-Atiq,1988–1989,5
66,Aaqib Javed,1988–1998,163
67,Saeed Anwar,1989–2003,247
68,Mushtaq Ahmed,1989–2003,144
69,Shahid Saeed,1989–1993,10
70,Waqar Younis,1989–2003,262
71,Sohail Fazal,1989,2
72,Akram Raza,1989–1995,49
73,Maqsood Rana,1990,1
74,Nadeem Ghauri,1990,6
75,Sajjad Akbar,1990,2
76,Mansoor Rana,1990,2
77,Zahid Fazal,1990–1994,19
78,Moin Khan,1990–2004,219
79,Aamer Sohail,1990–2000,156
80,Inzamam-ul-Haq1,1991–2007,375
81,Iqbal Sikander,1992,4
82,Wasim Haider,1992,3
83,Tanvir Mehdi,1992,1
84,Rashid Latif,1992–2003,166
85,Ata-ur-Rehman,1992–1996,30
86,Arshad Khan,1993–2006,58
87,Ghulam Ali,1993–1995,3
88,Basit Ali,1993–1996,50
89,Aamer Nazir,1993–1995,9
90,Nadeem Khan,1993–1995,2
91,Aamer Hanif,1993–1995,5
92,Irfan Bhatti,1993,1
93,Ashfaq Ahmed,1994,3
94,Kabir Khan,1994–2000,10
95,"Shakeel Ahmed, Jr.",1995,2
96,Naeem Ashraf,1995,2
97,Zafar Iqbal,1995,8
98,Javed Qadeer,1995,1
99,Mahmood Hamid,1995,1
100,Mohammad Akram,1995–2000,23
101,Saleem Elahi,1995–2004,48
102,Saqlain Mushtaq,1995–2003,169
103,Saeed Azad,1995–1996,4
104,Shadab Kabir,1996,3
105,Shahid Anwar,1996,1
106,Shahid Nazir,1996–2000,17
107,Azhar Mahmood,1996–2007,143
108,Shahid Afridi1,1996–2015,398
109,Hasan Raza,1996–1999,16
110,Abdul Razzaq1,1996–2013,265
111,Azam Khan,1996–1998,6
112,Zahoor Elahi,1996–1997,14
113,Mohammad Wasim,1996–2000,25
114,Mohammad Zahid,1996–2002,11
115,Mujahid Jamshed,1997,4
116,Ijaz Ahmed jnr,1997,2
117,Mohammad Hussain,1997–1998,14
118,Akhtar Sarfraz,1997–1998,4
119,Manzoor Akhtar,1997–1998,7
120,Fazl-e-Akbar,1998–2001,2
121,"Mohammad Yousuf1, 2",1998–2010,288
122,Shoaib Akhtar1,1998–2007,163
123,Asif Mahmood,1998,2
124,Wajahatullah Wasti,1999–2000,15
125,Imran Nazir,1999–2007,79
126,Shabbir Ahmed,1999–2005,32
127,Shoaib Malik,1999–2019,287
128,Imran Abbas,2000,2
129,Yasir Arafat,2000–2014,11
130,Younis Khan,2000–2015,264
131,Faisal Iqbal,2000–2007,18
132,Irfan Fazil,2000,1
133,Atiq-uz-Zaman,2000,3
134,Imran Farhat,2001–2013,58
135,Humayun Farhat,2001,5
136,Mohammad Sami,2001–2015,87
137,Kashif Raza,2001,1
138,Taufeeq Umar,2001–2005,22
139,Danish Kaneria,2001–2007,18
140,Naved Latif,2001–2003,11
141,Misbah-ul-Haq,2002–2015,162
142,Kamran Akmal,2002–2017,157
143,Mohammad Hafeez,2003–,218
144,Umar Gul,2003–2016,130
145,Rana Naved-ul-Hasan,2003–2007,74
146,Yasir Hameed,2003–2007,56
147,Faisal Athar,2003,1
148,Junaid Zia,2003,4
149,Salman Butt,2004–2010,60
150,Bazid Khan,2004,5
151,Iftikhar Anjum,2004–2008,62
152,Mohammad Khalil,2005,3
153,Mohammad Asif1,2005–2010,38
154,Abdur Rehman,2006–2014,31
155,Fawad Alam,2007–2015,38
156,Najaf Shah,2007,1
157,Sohail Tanvir,2007–2014,62
158,Sarfaraz Ahmed,2007–,117
159,Nasir Jamshed,2008–2015,48
160,Samiullah Khan,2008,2
161,Kamran Hussain,2008,2
162,Khalid Latif,2008,5
163,Sohail Khan,2008–2016,13
164,Abdur Rauf,2008,4
165,Khurram Manzoor,2008,7
166,Rizwan Ahmed,2008,1
167,Wahab Riaz,2008–,91
168,Naumanullah,2008,1
169,Mansoor Amjad,2008,1
170,Saeed Ajmal,2008–2015,113
171,Ahmed Shehzad,2009–2017,81
172,Mohammad Amir,2009–,61
173,Umar Akmal,2009–2019,121
174,Shahzaib Hasan,2010,3
175,Umar Amin,2010–2018,16
176,Asad Shafiq,2010–2017,60
177,Mohammad Irfan,2010–2016,60
178,Zulqarnain Haider,2010,4
179,Hammad Azam,2011,11
180,Junaid Khan,2011–,76
181,Mohammad Salman,2011,7
182,Tanvir Ahmed,2011,2
183,Usman Salahuddin,2011,2
184,Azhar Ali,2011–2018,53
185,Adnan Akmal,2011,5
186,Aizaz Cheema,2011,14
187,Yasir Shah,2011–2019,25
188,Rahat Ali,2012–2016,14
189,Ehsan Adil,2013,6
190,Asad Ali,2013,4
191,Haris Sohail,2013–,42
192,Sohaib Maqsood,2013–2021,29
193,Anwar Ali,2013–2016,22
194,Bilawal Bhatti,2013–2015,10
195,Sharjeel Khan,2013–2017,25
196,Mohammad Talha,2014,3
197,Zulfiqar Babar,2014–2015,5
198,Raza Hasan,2014,1
199,Mohammad Rizwan,2015–,41
200,Saad Nasim,2015,3
201,Sami Aslam,2015–2017,4
202,Babar Azam,2015–,83
203,Imad Wasim,2015–,55
204,Aamer Yamin,2015–,4
205,Bilal Asif,2015–,3
206,Iftikhar Ahmed,2015–,7
207,Zafar Gohar,2015,1
208,Hasan Ali,2016–,57
209,Mohammad Nawaz,2016–,16
210,Shadab Khan,2017–,48
211,Fakhar Zaman,2017–,53
212,Faheem Ashraf,2017–,31
213,Rumman Raees,2017–,8
214,Imam-ul-Haq,2017–,46
215,Usman Shinwari,2017–,17
216,Asif Ali,2018–,20
217,Shaheen Afridi,2018–,28
218,Hussain Talat,2019–,1
219,Mohammad Abbas,2019,3
220,Shan Masood,2019,5
221,Mohammad Hasnain,2019–,8
222,Abid Ali,2019–,6
223,Saad Ali,2019–,2
224,Haris Rauf,2020–,8
225,Haider Ali,2020–,2
226,Muhammad Musa,2020–,2
227,Khushdil Shah,2020–,1
228,Danish Aziz,2021–,2
229,Usman Qadir,2021–,1
230,Saud Shakeel,2021–,3
